Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.050000, Image_name, 6.tif, PSNR, 28.659427, SSIM, 0.846768 
Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.050000, Image_name, 7.tif, PSNR, 26.551093, SSIM, 0.854038 
Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.050000, Image_name, 8.tif, PSNR, 30.831937, SSIM, 0.881615 
Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.100000, Image_name, 1.tif, PSNR, 29.762821, SSIM, 0.888824 
Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.100000, Image_name, 2.tif, PSNR, 31.866819, SSIM, 0.904627 
Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.100000, Image_name, 3.tif, PSNR, 30.232988, SSIM, 0.879180 
Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.100000, Image_name, 4.tif, PSNR, 37.646973, SSIM, 0.943763 
Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.100000, Image_name, 5.tif, PSNR, 35.734759, SSIM, 0.901764 
Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.100000, Image_name, 6.tif, PSNR, 32.722472, SSIM, 0.918412 
Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.100000, Image_name, 7.tif, PSNR, 30.864365, SSIM, 0.928509 
Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.100000, Image_name, 8.tif, PSNR, 34.201886, SSIM, 0.924026 
Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.150000, Image_name, 1.tif, PSNR, 32.548122, SSIM, 0.932937 
Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.150000, Image_name, 2.tif, PSNR, 34.410885, SSIM, 0.937888 
